CD_ALUNO_ANONIMIZADO,FLAG_MOBIL_REDUZ,TIPO_MOBIL_REDUZ
3052000112C36483585A6518373012,0,0
2644000113C31770873C8514313132,0,0
1626000114A37284975B4554543192,0,0
4930000115F30010965E4787613294,0,0
1902000122D28439360F4518403745,0,0
7063000123F12120559B4870183848,0,0
4547000112A29888473A5033322997,0,0
6465000116B32070432A0102963347,0,0
5646000108B29870125D5344262600,0,0
1333000114B36808466D7151613218,0,0
5359000114C33401327C8191873228,0,0
5942000115D31271714D4097733287,0,0
1412000122C19300457A4913503749,0,0
7845000124E19584973B7678123976,0,0
0598000114C32538923E2944263176,0,0
2887000122E24557881A2228513722,0,0
6969000123F38796083F6469273864,0,0
4250000110A19843067C5830322805,0,0
7685000115D35005734C6415163310,0, 
2139000107E24116319F9309182540,0,0
3504000111E31455787C3822872885,0,0
4582000123A20051285F3245373832,0,0
3588000106D36340748F2223642369,0,0
9582000121C27570853D8695403686,0,0
1502000107F28711265D5902792506,0,0
3603000108E12814707A9223842639,0,0
9010000110E12876492E5477912801,0,0
5975000110E37783954D6947572816,0,0
3694000110E2461895A9124762838,0,0
7818000116A37693373B8216493428,0,0
6175000122A16411033C5661133756,0,0
5011000109C28881722C7737922724,0,0
7851000112D32278986E5666363003,0,0
5236000112B36180617C9540223042,0,0
5453000120B34743364A9154083591,0,0
5243000122E20292176B6651913766,0,0
7217000123E9096830B2471723824,0,0
6267000108D22582159F8850482635,0,0
1030000109C37819210A3998112687,0,0
8849000109C33537920B9176302738,0,0
8946000110C30639971F1777272764,0,0
7248000116F36272318C1510793361,0,0
2356000124E27920378B4923233949,0,0
2716000112B29286711C0015002947,0,0
3367000114F33164330A5571953202,0,0
7103000110F36705066A8058852827,0,0
6392000113C31496881B1951793066,1,P
6236000114A30734862E0494703151,0,0
2880000116B36312296C0867113355,0,0
8678000123D26719352E6286363862,0,0
3780000042F23369634F2915280290,0,0
8185000114B35145294E1620133162,0,0
5935000121E39036175F3058913630,0,0
6066000123E17193061D9660333896,0,0
7376000124B14366381C4473433944,0,0
0543000107F23922396F8293222530,0,0
3854000110C25793553B6226362809,0,0
7965000111C36982278E9867492945,0,0
5646000112C15005209C1744302964,0,0
8935000112B30677194E3577192982,0,0
2052000115B33914484B2958833276,0,0
2048000122F18773834F8519983785,0,0
8260000125F39013175A3582314035,0,0
8138000021E5676477C7845611219,0,0
1952000108D14443712F9507332642,0,0
1643000116A31859941C2254743369,0,0
4509000116C30760296B4983403396,0,0
0274000123C22528751B9202333892,0,0
2783000109F31167281F4315642690,0,0
8981000116D33100936A0728123353,0,0
7689000121C25317742C9276493692,0,0
8466000122C24944337B5984043759,0,0
5145000122B29559193E6350933763,0,0
0810000125F16336666A2907774029,0,0
5164000109A24483953A0639452653,0,0
1968000111E13600812E9807522945,0,0
5441000110E17491576D1342222760,0,0
3191000123F6504810F5131483851,0,0
4517000107D25300781D9432962541,0,0
1904000115C37040203B5157353298,0,0
0046000115D30486171D8138773328,0,0
0624000121D17614962B6805823668,0,0
7720000122F29600675A8776723787,0,0
3495000123F26828185F4234503842,0,0
4862000110C30903244E4036432787,0,0
5815000111B18067785C6445982911,0,0
1036000112A14445701A3698212984,0,0
5178000125D22114912A0651454006,0,0
7297000110B35938501B7260792819,0,0
9022000111A6834631C4278052889,0,0
0389000120D32912381E9403443594,0,0
2865000124D28009114F6028323960,0,0
5540000114D29917657D3593683182,0,0
6283000114B36501151E4501113191,0,0
4935000110A35889531C2237162769,0,0
1894000113E31780244E6006813107,0,0
4833000114A35456227D4386613190,0,0
5208000115D31273600B1890393265,0,0
0521000120C11775312F3004733530,0,0
0591000110C31473119C6093732808,0,0
5042000113C33088867F6038293107,0,0
8289000120C13793401E6682413566,0,0
6576000124E26321211C8765433987,0,0
7214000111A32765537A5559972902,0,0
6489000112B30635373E9752753044,0,0
2208000122D38153036D8821603788,0,0
1655000123A28231257D6316133863,0,0
0524000109B20976248C8393052731,0,0
7925000111A29899045F0967082856,0,0
9300000112A14066702A4480852991,0,0
1076000121E27314324E7310343673,0,0
9754000109A27103309F2385352670,0,0
5446000123E29276434E1454003814,0,0
5650000107B19439630C8244292529,0,0
2952000113B38641501E3717393084,0,0
0946000124B28730476F7509133975,0,0
4017000125E24636082D2739844027,0,0
6518000125B26354588D2864854028,0,0
8290000110E6713926F6670722813,0,0
6749000111D33031231A9055322937,0,0
8147000111D25805586A9369312940,0,0
9670000109D31169739E3884512685,0,0
8656000111C18356222A9574402942,0,0
8249000114D32099103C8120773227,0,0
4840000123B14408406D6647983866,0,0
2871000123F26135164A2628263826,0,0
6923000124B14577798B8968903989,0,0
1769000111C34625031F8405522931,0,0
6767000113D31467419C0055533047,0,0
6328000113C31767707A0551143052,0,0
2125000113F33058455A4409123091,0,0
9939000121D26099617B6498973664,0,0
